"Feedback","Sentiment Label","Ratings",""
"I paid Almost 20 lacks for last one year But Last week I am very Disappointed for Admission counter And Billing Manager And Securities....","0","2",""
"One of the worst hospital in entire india. Doctors visit for In-patient only once a day with utter non sense knowledge. Unprofessional nurse and administration who treats patients like materials. Expenses is pathetic who takes 50K for just investigation of the patient.","0","1",""
"Last but not least, Dr. Balaji and Dr. Ravindra were excellent and they deserve to work in a better hospital who values patients better.","1","5",""
"One of the worst hospitals with one or the worst services.","0","2",""
"They don’t care about patients, all they care about is money. I wanted to get a few blood tests done, I tried contacting their health check up department but nobody answered. When we call the customer service they say call the health check up department. I had made atleast 15 calls and went off without an answer.","0","2",""
"Since it was important that the test be done in this particular hospital only, I went there which is around 8 KMs from my house to take an appointment but there also I was given a contact number. Again which no one picked up.","0","1",""
"One of the worst hospital my mother was admitted she was having ejection fraction of the heart of 35℅ but they gave false information saying 15℅ in the report and the cardiologist doctor venkatesh called us in enquired about our financial information ..","0","2",""
"Doctors appear to care more about following administrative procedures rather than healing. Pharmacy is not efficient, and does not sell medicine according to dosage. They only care about maximizing profit by selling medicine in full strip instead of how much patients need!","0","1",""
"Very poor services. I got my blood culture done on 9th June 2023. Till now no reports. I got admitted also, I must say, it is one of the most pathetic hospital. The doctors don’t come. The nurses have to be reminded to give medicine. The food is pathetic, it stinks. Think twice.","0","2",""
"Went for a equipment service in the hospital, the securitys in back gate are very unprofessional.","0","1",""
"Highly Disappointed for Security Service very arrogant speaks for all securities and admission counter Are very waste for Customer support Not given Solutions for ward Booking Billing Manager Ram is very careless speaks for customers not given proper solutions..","0","2",""
"I paid Almost 20 lacks for last one year But Last week I am very Disappointed for Admission counter And Billing Manager And Securities....","0","1",""
"Met dr Niti Raizada for treatment of micosis fungoids. The team attended us very well. My husband had secondary infection and it was taken care well. Nursing services and hospitality was very good.","1","5",""
"All services are good. Doctors and nurses are very good. Dr. Mohan Keshavamurthy is an amazing doctorNurse Joseena has helped us whenever we needed. Hospital is clean and well maintained.","1","5",""
"Dr Rajpal Singh & Dr Jyothi are the best doctors. They brought faith in us. Their approach towards us is humane and are regularly available showing us utmost care. Over all had a very pleasant experience. Everything is maintained well. Grateful to all the nurses who have helped me recover.","1","5",""
"Dr. Prasanth kesari treats the patient well and operated my daughters finger injury very well and we are satisfied with it Nurse Anju, Sneha, Anshu, Dhaya were very kind and caring.","1","5",""
"Dr Ajay Rao is an excellent oncologist.We are amazed with his treatment and care given to my mother.Nursing services is wonderful by Ms Ankamma and Ms Sai Rahithya .All the staffs here are very supportive mentally especially Ms Kavitha (SLM).She helped us in every step of the treatment.Special thanks to her .","1","5",""
"Dr Shivananda Patil is extraordinary....3rd floor ICU Bro Manikandan D, Sis Soumya are superb. Nurses, cleaning staffs in ICU and 6th floor are doing good job. Thank you for your wonderful service. Thank you Dr Shivanand Patil sir.","1","5",""
"Dr Sheela Chakravarthy is like mu family doctor. We always consult her regarding any issues of my family. Very gentle and kind. Nursing staffs are extremely helpful and on time. Everything went well. Thanks to doctor and her team.","1","5",""
"Dr Naveen D is really experienced doctor . My mother's knee replacement done by him. He as done a good job. we are very satisfied with his team . thank you sir for your and team's outstanding care and support","1","5",""
"Treatment by Dr Suresh Babu is very good. We have come for chemotherapy day care treatment. The services are excellent and we are very happy . Staffs are very cooperative and kind. Happy with Fortis.","1","4",""
"Dr. Manish Joshi and Dr. Shashikiran has treated my husband. The treated provided to him is very helpful for him to recover. Nursing staff are also very caring.","1","4",""
"My father had colorectal and gallbladder surgery performed by Dr. Shabbir Ahmad, and we were all impressed with his patience and attentive nature.","1","5",""
"Dr. Anil Kumar Anand Kustagi has provided amazing treatment that helped to recover soon. Nurses, particularly Teena had taken care of us very carefully.","1","5",""
"Savios music changed the mood and made the stress less. Thank you for the music. Thanks for Dr Nagabhusan sir And Dr Divya madam to supporting us.","1","4",""
"I am very impressed with Dr Narayan Hulse . Very caring, intelligent , compassionate towards his work. He had given me confidence to undergo bilateral knee replacement so I did and I am very happy with my decision. Great personality.","1","5",""
"Dr Raju G H counselled treated for gallbladder stone. He is an excellent doctor with humanity. Nursing staffs in 6th floor are very caring. The process is very fast comparative to other hospitals.","1","4",""
"Dr Manisha Rajpal Singh She is very smart. We really appreciate her kindness and compasionate!","1","5",""
"She hold the skill necessary for those who suffer with endometriosis. Her Flexibility to adapt to the treatment. She give us courage!","1","5",""
"This feedback is the expression of my gratitude and experience which may be benefit for the patients and their families.","1","5",""
"Hospital services are very good. Extremely well maintained Hospital with a terrific team of doctors with a humane approach towards patients, who leave no stone unturned for a patient and stand by you on the journey to recovery.","1","4",""
"Overall had a very good experience and feel at home. Every staff have taken a great care of me. I'm very grateful to all the staff who has helped me recover, by treating me with utmost care.","1","5",""
"Fortis is a much reliable hospital, where every patient who visits the hospital is treated like a family. Wish the team a grand success, a bright future and good speed.","1","4",""
"My entire pregnancy experience at Fortis was phenomenal. From prenatal to delivery , my experience of being a first time mother was made the most memorable experience. Thank you , Gayatri D Kamath and team for making the happiest day of my life even better !!","1","5",""
"Excellent service. Everything is well taken care of by the staff here. Food is also good. Very neatly maintained rooms. I am fully satisfied with the treatments and hospitality at this hospital. Thank you so much Fortis Team.","1","5",""
"Dr. Sheela is a very professional and experienced doctor. Good facilities and the staff is good too. However, during insurance clearances you may have to face a little issue. Overall very good hospital with great facilities.","1","4",""
"Dr Raju sir and team are very good, and the service of all Staff members is very good. Facilities in hospital are excellent and accurate. ","1","5",""
"Had come for ear surgery for my brother under Dr Athira Ramakrishnan. She had given excellent treatment.","1","4",""
"She had an effective communication with the patient and explained everything thoroughly. The nursing services were really good, being available all the time around. Very happy with the services given by the supporting staffs as well. All the staffs performed their duties really well. Thank you all.","1","5",""
"Recommended doctors and hospital for cardiac surgeries. Dr Vivek Jawali, Dr Murali Manohar, Dr Nikhil are excelkent team doctors. Suraksha, Alida, Aneesha, support staffs Are extremely good caring. Food is hygiene and timely.","1","5",""
"Dr. Usha B R is very well experienced and knowledgeable. She treats patients as her friends. Build that confidence and bond with patients to make them comfortable. ","1","5",""
"Overall good experience with her. Daycare all nursing staffs are very caring and always available. Thanks to Dr. Usha and her team.","1","4",""
"Dr. Shabeer Ahmed has provided prompt treatment and it helped me to recover. Nurses are also very good. They're very helpful and humble.","1","5",""
"Very satisfied with Dr. S S Praharaj. Nicely we did my surgery. Super nursing staffs. From morning till night, they took care very efficiently. Once we press the call bell, they will always come immediately. Food and cleaning team always on time. Overall good service.","1","4",""
"Dr. Usha B R is friendly and analysis the medical condition very efficiently. She's took care very well. Nursing staffs are very very cooperative special thanks to sister Shalini. We like the environment very much and hoping for the best results. Thank u all.","1","5",""
"The treatment was very good from the hospital. They guided us in each and every step. The doctors including Gayathri kamat and Swetha mam are really good and caring. It was nice to get the treatment done at Fortis,","1","5",""
"Dr. Sudha Vinod Menon is an amazing doctor. She has explained everything to us properly. All the nurses are very good and caring","1","4",""
"My wife was admitted recently for an emergency while she is expecting. And we are extremely satisfied with all the services provided by doctors and nurses right from the emergency department till our discharge","1","5",""
"Special thanks to Dr. Chaitra and Dr. Mangala for a thorough check-up and diligent treatment approach during this visit.","1","5",""
"I visited Dr. Usha from gynecology department at Fortis bannerghatta. The diagnosis was apt and had to go though a minor surgery later. I was treated well by all the doctors and nurses, everyone was really corporative and helpful.","1","4",""
"I am very thankful to this hospital and Dr for curing my father health problem with his skillful treatment. I really appreciate all the doctors teams and nursing staff for their commitment. Excellent service","1","5",""
"We loved the hospitality of the staff members and doctors. They are so hardworking and put efforts to ensure good health and safety of the patients. Dr. Gayathri is an excellent doctor who also provides you guidance and emotional support","1","5",""
"We are really satisfied with the service from Fortis. There is no negative point about this hospital. Well maintained and very systematic. The best part is your time will not be wasted even for 1 min. Thanks for the doctors and all other workers.","1","3",""
"Had an emergency visit to the hospital with my father who was hospitalised for a couple of days due to a surgery. The doctors and staff of the hospital took utmost care. The best part of the hospital is that the team follows its processes and protocols so well.","1","5",""
"Good hospitality & Services.","1","5",""
"Great hospital with quality standards.","1","4",""
"Dr. Chaya Patel is a very good doctor knowing her from 10 years. Polite and experienced.","1","5",""
"Diagnosis, treatment and care are good. It is a big organisation and a large team of doctors and supporting staffs doing a decent job! Cost is bit on the higher side. A cot could be provided for attenders in general ward. Discharge process was not smooth.","1","3",""
"The ward was also very clean and well maintained (we had chosen a twin sharing room).","1","5",""
"The pulmonologist team did a very thorough diagnosis and suggested the best course of treatment.","1","5",""
"My entire pregnancy experience at Fortis was phenomenal. From prenatal to delivery , my experience of being a first time mother was made the most memorable experience. Thank you , Gayatri D Kamath and team for making the happiest day of my life even better !!","1","4",""
"Excellent service. Everything is well taken care of by the staff here. Food is also good. Very neatly maintained rooms. I am fully satisfied with the treatments and hospitality at this hospital. Thank you so much Fortis Team.","1","5",""
"Dr. Sheela is a very professional and experienced doctor. Good facilities and the staff is good too. However, during insurance clearances you may have to face a little issue. Overall very good hospital with great facilities.","1","5",""
"It is a big organisation and a large team of doctors and supporting staffs doing a decent job! Cost is bit on the higher side. ","1","4",""
"They were a great support during the difficult times Night staff were exceptional always running to peopleâ€™s aid I felt they were overloaded with work.","1","5",""
"Over all great service and support All of staff members were awesome people.","1","4",""
"Aster hospital has the latest systems and techniques The hospital is very clean and well maintained.","1","4",""
"I wholeheartedly recommend them to anyone in need of cardiac care Their combination of medical expertise and genuine compassion is truly remarkable","1","5",""
"They are Master's in Consultation Treatment Lab Services and Car Special thanks to Emergency ICU Insurance and Security Teams.","1","4",""
"Overall helpful staff and good service.","1","5",""
"Crowd management can be improved and nursing support staff can be increased in departments","1","3",""
"Worst hospital Only because of good doctor we came here except that each and every thing here is worst.","0","2",""
"Aster CMI is One of the best hospital with good facilities and the top consultants in the south India.","1","4",""
"I would strongly recommend this hospital to whoever wants top class treatment and best administrative services.","1","4",""
"One of the best hospital with good facilities We had taken full body checkup for both Really good staff and friendly staff","1","5",""
"We were in the general ward and there was no nurse call option provided","0","2",""
"Admitted for dengue treatment under doctor brunda madam doctor treated very well and helped me to get platlets improvement within a short time","1","4",""
"I got a positive vibes while leaving the hospital they provided get well soon card for me Excellent service treatment.","1","4",""
"If you have enough money then you can choose this hospital There is no limit on looting patients here.","1","3",""
"For hospitization below is feedback Senior Doctors are good Jr Doctors are not sharing or responding for any queries","1","3",""
"Nurse station support is very poor we have to follow up for everything.","0","2",""
"They just say wait  doctor will come or test will start no proper data they have.","0","1",""
"Fantastic treatment doctor nagamalesh sir removed two blocks successfully and he made me very comfortable procedure time awesome support.","1","4",""
"Dr somshekar is the best He gave my mom a second life.","1","4",""
"Staff are friendly and excellent in whatever service they render.","1","5",""
"This is an extremely expensive hospital which cannot be afforded without insurance.","1","3",""
"In patient care was great during the first few days Nursing team was very fast to respond and very friendly.","1","4",""
"Regular visits by the doctors Excellent house keeping.","1","5",""
"The food takes a very long time to get delivered Food is again on the expensive side.","0","2",""
"A lot can improve in this place to make the experience great.","1","3",""
"Itâ€™s been 7 months since the accident now and Iâ€™m back on my feet Thanks to Aster CMI for their good healthcare.","1","4",""
"The registration experience was quick and hassle free The diagnostic labs are good too.","1","4",""
"Overall it is a good and clean hospital which makes it one of the most favorite hospitals for locals and international patients.","1","5",""
"The doctors are the best in the city along with great infrastructure makes this a preferred hospital for all.","1","4",""
"Had a very good experience with the hospital doctor Dr Brinda Dr Lokesh and surgeon Dr Santosh nu neuro.","1","5",""
"I was really happy and fully satisfied with the Pre Surgery preparations/ Surgery operations & post surgery care.","1","5",""
"My experience with the hospital was good overall.","1","5",""
"The hospital has good infrastructure and facilities.","1","4",""
"When it comes to doctors they do have lots of well experienced and knowledgeable doctors.","1","4",""
"Special mention to exceptional nursing and other medical & non medical staff who were very caring and checking on the kid every now and then.","1","5",""
"Especially Mr Rajesh took care of mother like anything Whenever whatever we asked he had helped and arranged Great job","1","4",""
"I recently had a positive experience at Aster CMI Hospital.","1","5",""
"I am so glad that we got a kidney transplant done for my wife in Aster Hospital I can say the best hospital with superb service.","1","4",""
"Overall the hospital has been following good maintanence and cleaning of the wards to ensure hygiene.","1","5",""
"Visited the medical oncology department The consultation process was smooth Staff were polite and helpful.","1","4",""
"Overall it was good treatment wise and the services Were also really good.","1","5",""
"The entire Gynac department including fetal medicine OPD staff labor wards and nurses worked very efficiently and effectively throughout the time.","1","5",""
"My wife was given a complimentary massage post delivery which speeded up her recovery and was very relaxing for her.","1","4",""
"The staff also organised a surprise cake cutting for us as part of the celebration.","1","5",""
"The admission process was remarkably smooth reflecting the hospital's commitment to efficiency and patient comfort.","1","4",""
"The staff mainted high level of professionalism and compassion making me feel well-cared-for throughout my stay.","1","4",""
"I Had good experience with Dr sanjay Bhatt who gives time for patients to understand their problem and provide the right medication and suggestion.","1","5",""
"All good treatment from pediatric surgery team.","1","5",""
"Aster has been the place for all my medical needs They have one of best medical care that you can ever get.","1","5",""
"The staff are caring and one of the most efficient hospital I have ever visited.","1","5",""
"I had some issues in bed assignments probably due to patient load on the hospital.","1","3",""
"The Nurses did an excellent job especially Manjari Payal and Moushmi who always attended with a smile when needed.","1","5",""
"I believe the hospital is expensive compared to others.","1","3",""
"the cost of hospital is more.","1","3",""
"I would not like to recommend this hospital to anyone because of the bill they prepare at the time of discharge.","0","2",""
"I had a single private room but was not cleaned and the staff was very rude","0","1",""
"the food is not tasty and is not made well This can definitely improve","0","2",""
"my wife during the treatment Got great support from the overall medical team.","1","4",""
